"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2021","8,324.00","8,390.00","8,506.00","8,279.00","131.55K","-1.18%"
"08/15/2021","8,423.00","8,541.00","8,624.00","8,377.00","1.59M","0.27%"
"08/08/2021","8,400.00","8,400.00","8,400.00","8,400.00","","0.00%"
"08/01/2021","8,400.00","8,400.00","8,400.00","8,400.00","0.00K","-1.33%"
"07/25/2021","8,513.00","8,616.00","8,766.00","8,318.00","0.08K","-1.20%"
"07/18/2021","8,616.00","8,522.00","8,780.00","8,352.00","0.04K","2.83%"
"07/11/2021","8,379.00","8,714.00","8,714.00","8,339.00","0.01K","-3.84%"
"07/04/2021","8,714.00","8,714.00","8,714.00","8,714.00","","0.00%"
"06/27/2021","8,714.00","8,414.00","9,002.00","8,414.00","0.10K","1.01%"
"06/20/2021","8,627.00","8,273.00","8,726.00","8,184.00","0.02K","4.32%"
"06/13/2021","8,270.00","8,267.00","8,445.00","8,202.00","0.09K","0.85%"
"06/06/2021","8,200.00","8,500.00","8,500.00","8,100.00","0.01K","-1.37%"
"05/30/2021","8,314.00","8,066.00","8,993.00","7,902.00","0.14K","-2.04%"
"05/23/2021","8,487.00","8,637.00","8,637.00","8,191.00","0.04K","-0.07%"
"05/16/2021","8,493.00","8,854.00","8,854.00","8,392.00","1.65K","-3.46%"
"05/09/2021","8,797.00","8,930.00","9,082.00","8,758.00","2.50K","-0.97%"
"05/02/2021","8,883.00","8,676.00","8,960.00","8,676.00","3.43K","2.66%"
"04/25/2021","8,653.00","8,605.00","8,731.00","8,488.00","89.91K","0.51%"
"04/18/2021","8,609.00","8,745.00","9,154.00","8,472.00","1.59M","-1.67%"
"04/11/2021","8,755.00","8,800.00","8,826.00","8,603.00","468.73K","-1.34%"
"04/04/2021","8,874.00","9,030.00","9,030.00","9,030.00","","-2.04%"
"03/28/2021","9,059.00","9,018.00","9,088.00","8,800.00","0.76K","0.45%"
"03/21/2021","9,018.00","9,179.00","9,216.00","8,889.00","0.74K","-1.40%"
"03/14/2021","9,146.00","9,478.00","9,600.00","9,076.00","1.32K","-2.89%"
"03/07/2021","9,418.00","9,437.00","9,675.00","9,400.00","0.33K","0.30%"
"02/28/2021","9,390.00","9,386.00","9,496.00","9,180.00","0.52K","0.04%"
"02/21/2021","9,386.00","8,928.00","9,666.00","8,928.00","2.24K","7.70%"
"02/14/2021","8,715.00","8,353.00","8,353.00","8,353.00","","4.33%"
"02/07/2021","8,353.00","8,700.00","9,000.00","8,353.00","0.01K","-2.02%"
"01/31/2021","8,525.00","8,351.00","8,700.00","8,351.00","0.00K","2.90%"
"01/24/2021","8,285.00","8,214.00","8,487.00","8,035.00","0.30K","1.46%"
"01/17/2021","8,166.00","8,014.00","8,240.00","8,014.00","1.50K","0.62%"
"01/10/2021","8,116.00","8,193.00","8,193.00","7,815.00","1.95K","-0.95%"
"01/03/2021","8,194.00","8,006.00","8,688.00","8,006.00","6.51K","2.67%"
"12/27/2020","7,981.00","8,134.00","8,176.00","7,883.00","22.05K","-2.84%"
"12/20/2020","8,214.00","8,430.00","8,535.00","8,110.00","128.75K","-2.80%"
"12/13/2020","8,451.00","8,500.00","8,649.00","8,280.00","531.32K","-2.85%"
"12/06/2020","8,699.00","8,550.00","8,750.00","8,550.00","0.02K","2.34%"
"11/29/2020","8,500.00","8,985.00","9,506.00","8,500.00","0.05K","-2.55%"
"11/22/2020","8,722.00","8,618.00","8,903.00","8,617.00","0.10K","1.99%"
"11/15/2020","8,552.00","8,182.00","8,642.00","8,182.00","0.32K","4.78%"
"11/08/2020","8,162.00","8,300.00","8,300.00","8,300.00","0.01K","0.99%"
"11/01/2020","8,082.00","8,120.00","8,250.00","8,082.00","0.12K","1.08%"
"10/25/2020","7,996.00","7,800.00","8,473.00","7,730.00","0.30K","-0.29%"
"10/18/2020","8,019.00","8,150.00","8,150.00","7,915.00","0.51K","-1.97%"
"10/11/2020","8,180.00","8,250.00","8,300.00","8,250.00","0.19K","1.53%"
"10/04/2020","8,057.00","7,960.00","8,100.00","7,960.00","0.04K","0.11%"
"09/27/2020","8,048.00","8,150.00","8,318.00","7,855.00","0.15K","-0.59%"
"09/20/2020","8,096.00","7,904.00","8,154.00","7,901.00","0.35K","2.17%"
"09/13/2020","7,924.00","7,950.00","8,618.00","7,807.00","4.52K","0.21%"
"09/06/2020","7,907.00","8,242.00","8,256.00","7,700.00","3.93K","-4.06%"
"08/30/2020","8,242.00","7,932.00","8,350.00","7,932.00","27.51K","4.42%"
"08/23/2020","7,893.00","7,678.00","7,948.00","7,676.00","102.16K","2.64%"
"08/16/2020","7,690.00","7,599.00","7,757.00","7,544.00","869.27K","6.81%"
"08/09/2020","7,200.00","7,401.00","7,401.00","7,000.00","0.00K","-6.68%"
"08/02/2020","7,715.00","7,715.00","7,715.00","7,715.00","","0.00%"
"07/26/2020","7,715.00","7,810.00","8,056.00","7,413.00","0.02K","2.77%"
